Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
391,0,215,158,119,171,68,0,0,0,0,0,0,0,2141,,,,,,,,,,,,,,
380,0,181,156,64,109,0,0,0,0,0,0,0,0,4141,402.0,0.0,331.0,203.0,133.0,217.0,108.0,0.0,107.0,193.0,321.0,523.0,574.0,541.0
208,0,83,98,0,27,0,0,0,0,0,0,0,0,6142,396.0,0.0,340.0,205.0,138.0,220.0,104.0,0.0,109.0,201.0,328.0,560.0,607.0,570.0
0,0,0,26,0,0,0,0,0,0,0,0,0,0,8142,379.0,0.0,329.0,212.0,139.0,230.0,116.0,0.0,116.0,222.0,335.0,588.0,632.0,608.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10142,377.0,0.0,332.0,208.0,141.0,235.0,122.0,0.0,120.0,218.0,337.0,600.0,640.0,622.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12141,383.0,0.0,332.0,210.0,144.0,227.0,123.0,0.0,128.0,235.0,327.0,598.0,608.0,603.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14141,373.0,0.0,340.0,210.0,141.0,240.0,135.0,0.0,127.0,240.0,309.0,570.0,554.0,570.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16141,384.0,0.0,354.0,215.0,155.0,244.0,135.0,0.0,135.0,248.0,302.0,547.0,513.0,519.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18141,397.0,0.0,360.0,228.0,165.0,251.0,147.0,0.0,147.0,254.0,282.0,512.0,459.0,469.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,20142,422.0,0.0,380.0,245.0,183.0,271.0,160.0,0.0,154.0,257.0,276.0,478.0,386.0,407.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,22142,457.0,0.0,397.0,264.0,201.0,290.0,175.0,0.0,160.0,267.0,254.0,425.0,315.0,333.0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,24141,501.0,0.0,414.0,288.0,232.0,303.0,180.0,0.0,162.0,272.0,207.0,366.0,223.0,229.0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,26141,530.0,0.0,424.0,309.0,256.0,332.0,208.0,0.0,173.0,287.0,136.0,288.0,129.0,136.0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,28141,569.0,3.0,440.0,330.0,281.0,368.0,231.0,0.0,169.0,285.0,58.0,213.0,38.0,33.0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,30141,613.0,35.0,449.0,346.0,318.0,402.0,251.0,0.0,148.0,284.0,0.0,104.0,0.0,0.0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,32142,659.0,58.0,450.0,371.0,342.0,434.0,281.0,0.0,111.0,271.0,0.0,0.0,0.0,0.0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,34142,735.0,88.0,444.0,384.0,372.0,467.0,302.0,0.0,49.0,220.0,0.0,0.0,0.0,0.0
