Sen1_L,Sen2_L,Sen3_L,Sen4_L,Sen5_L,Sen6_L,Sen7_L,Sen8_L,Sen9_L,Sen10_L,Sen11_L,Sen12_L,Sen13_L,Sen14_L,CLK,Sen1_R,Sen2_R,Sen3_R,Sen4_R,Sen5_R,Sen6_R,Sen7_R,Sen8_R,Sen9_R,Sen10_R,Sen11_R,Sen12_R,Sen13_R,Sen14_R
99,0,2,189,49,48,18,0,0,75,80,248,466,588,2140,215,0,360,162,52,100,46,0,5,63,170,357,419,516
101,0,3,192,48,54,15,0,0,67,89,248,473,589,4140,211,0,350,160,47,96,39,0,4,55,170,347,433,523
112,0,7,203,51,52,12,0,0,68,94,253,475,573,6141,225,0,342,165,49,93,41,0,2,57,174,349,441,538
126,0,18,204,51,55,8,0,0,65,99,249,466,557,8141,236,0,341,167,49,96,39,0,9,58,183,355,442,543
134,0,21,202,51,57,10,0,0,68,105,246,465,530,10141,241,0,344,163,49,103,45,0,12,65,190,356,456,548
149,0,28,188,47,49,2,0,0,66,111,242,460,499,12141,243,0,346,162,49,108,58,0,19,77,189,363,453,546
157,0,29,191,43,47,0,0,0,54,111,238,465,511,14141,256,0,364,166,60,112,62,0,30,93,196,380,465,542
177,0,31,198,44,41,0,0,0,47,120,237,474,499,16140,281,0,378,169,63,131,84,0,51,113,208,391,459,542
199,0,30,202,39,31,0,0,0,46,133,232,493,507,18140,304,0,397,177,72,154,100,0,57,126,224,410,455,539
211,0,29,219,43,31,0,0,0,39,137,230,510,507,20141,326,0,407,174,75,155,105,0,70,139,232,415,451,522
221,0,22,218,36,26,0,0,0,39,148,213,509,499,22141,334,0,410,179,85,164,108,0,72,140,234,417,456,505
232,0,20,225,38,24,0,0,0,27,146,206,508,481,24141,342,0,409,191,89,162,101,0,72,141,237,419,471,516
241,0,19,234,39,19,0,0,0,32,151,206,508,481,26141,357,0,402,198,99,164,96,0,72,135,251,423,477,515
253,0,27,242,41,27,0,0,0,31,154,209,520,492,28141,372,0,401,213,101,165,95,0,72,131,259,417,486,519
269,0,22,248,41,16,0,0,0,28,160,208,528,497,30140,387,0,399,213,102,162,91,0,75,133,251,414,481,508
269,0,18,249,36,18,0,0,0,25,160,204,519,487,32140,383,0,395,215,100,160,91,0,77,131,254,417,479,503
268,0,18,255,37,18,0,0,0,24,162,198,520,485,34141,387,0,384,209,97,151,89,0,84,135,262,413,495,512
277,0,10,255,38,10,0,0,0,30,162,197,516,470,36141,380,0,379,211,89,151,88,0,80,128,264,417,514,524
275,0,12,257,40,15,0,0,0,24,153,191,503,467,38141,388,0,383,222,100,156,85,0,79,126,266,423,517,517
275,0,12,256,40,17,0,0,0,22,151,187,495,452,40141,410,0,386,228,107,162,88,0,87,135,270,425,507,506
283,0,9,255,42,16,0,0,0,30,164,192,511,469,42140,419,0,384,234,108,166,89,0,90,133,279,422,500,501
277,0,10,252,41,21,0,0,0,37,175,200,527,480,44140,429,0,380,236,112,168,93,0,94,140,284,423,487,496
282,0,13,254,46,22,0,0,0,35,174,204,531,479,46140,424,0,388,238,116,170,93,0,98,139,277,433,490,506
287,0,12,253,47,21,0,0,0,38,177,208,536,497,48141,430,0,388,240,123,178,98,0,100,142,287,450,537,537
283,0,13,252,46,25,0,0,0,37,181,207,540,516,50141,430,0,388,238,121,175,96,0,100,149,310,479,573,591
278,0,15,262,54,27,0,0,0,31,176,222,567,532,52141,415,0,388,234,120,172,98,0,101,153,315,491,609,629
263,0,16,270,51,25,0,0,0,26,171,215,559,539,54141,398,0,385,233,118,176,101,0,100,151,318,509,637,650
238,0,7,265,41,18,0,0,0,22,155,195,544,539,56140,396,0,384,226,120,170,93,0,106,157,320,516,628,657
220,0,1,270,39,9,0,0,0,15,133,179,530,536,58140,397,0,376,229,122,173,91,0,106,160,327,516,635,667
195,0,0,273,40,0,0,0,0,7,109,166,501,519,60141,412,0,372,250,129,175,84,0,111,145,333,512,641,678
169,0,0,275,38,0,0,0,0,0,73,140,461,513,62141,434,0,370,262,143,173,69,0,116,150,335,512,620,666
147,0,0,264,33,0,0,0,0,5,53,127,425,497,64141,454,0,368,272,155,179,72,0,120,153,326,504,583,631
133,0,0,257,35,0,0,0,0,4,37,122,413,486,66141,456,0,375,285,168,188,77,0,124,155,314,493,541,612
140,0,0,251,43,0,0,0,0,14,28,115,364,439,68141,457,0,379,283,170,199,83,0,137,160,304,487,510,586
160,0,0,243,54,0,0,0,0,24,18,107,309,378,70140,455,0,376,281,170,198,89,0,139,170,293,483,473,560
171,0,16,232,59,7,0,0,0,34,7,105,248,340,72140,457,0,386,281,175,205,94,0,137,174,296,495,485,572
